"id","coin_id","date","one_day_trend","day_perc_diff","one_week_trend","symbol_count","name_count","coin_id_count","sentiment_score","social_dominance"
20805005,"dogecoin","2024-11-12","571","93.30065359477125","103.14285714285714",1035,148,1183,"NaN","0.0001830426956758136"
20805634,"ethereum","2024-11-12","530","19.798281658573032","169.42857142857142",2332,875,3207,"NaN","0.0004962112637635961"
20809918,"neiro","2024-11-12","-4","-3.3333333333333335","12.428571428571429",116,116,116,"NaN","1.7948396194754333e-05"
20814529,"uniswap","2024-11-12","28","8.408408408408409","5.714285714285714",45,316,361,"NaN","5.585664677850271e-05"
20803097,"brett","2024-11-12","49","376.9230769230769","7.428571428571429",62,62,62,"NaN","9.593108310989385e-06"
20810872,"pepe","2024-11-12","164","71.9298245614035","29.857142857142858",392,392,392,"NaN","6.0653200933997404e-05"
20738949,"uniswap","2024-11-11","60","21.978021978021978","-1.1428571428571428",39,294,333,"NaN","5.553278285281078e-05"
20730054,"ethereum","2024-11-11","-292","-9.83496126641967","104.57142857142857",1963,714,2677,"NaN","0.0004464302093002236"
20727517,"brett","2024-11-11","-18","-58.06451612903226","-0.2857142857142857",13,13,13,"NaN","2.167946477737358e-06"
20735292,"pepe","2024-11-11","-11","-4.602510460251046","5.571428571428571",228,228,228,"NaN","3.802244591723981e-05"
20729425,"dogecoin","2024-11-11","165","36.91275167785235","50.285714285714285",507,105,612,"NaN","0.00010206024956732791"
20734338,"neiro","2024-11-11","85","242.85714285714283","13.857142857142858",120,120,120,"NaN","2.0011813640652532e-05"
20668801,"dogecoin","2024-11-10","55","14.030612244897958","33",384,63,447,"NaN","7.029609438359368e-05"
20674677,"pepe","2024-11-10","35","17.15686274509804","2.5714285714285716",239,239,239,"NaN","3.7585607511585885e-05"
20666896,"brett","2024-11-10","-5","-13.88888888888889","1.5714285714285714",31,31,31,"NaN","4.875120639578085e-06"
20669432,"ethereum","2024-11-10","-44","-1.4603385330235645","137",2246,723,2969,"NaN","0.0004669107477066882"
20673719,"neiro","2024-11-10","-34","-49.275362318840585","1.2857142857142858",35,35,35,"NaN","5.504168464039774e-06"
20678336,"uniswap","2024-11-10","47","20.79646017699115","-4.142857142857143",26,247,273,"NaN","4.293251401951023e-05"
20608293,"dogecoin","2024-11-09","28","7.6923076923076925","27",300,92,392,"NaN","8.309121359168765e-05"
20613211,"neiro","2024-11-09","-23","-25","2.857142857142857",69,69,69,"NaN","1.462574933118992e-05"
20606388,"brett","2024-11-09","2","5.88235294117647","3.142857142857143",36,36,36,"NaN","7.630825738012131e-06"
20614169,"pepe","2024-11-09","-28","-12.068965517241379","-10.714285714285714",204,204,204,"NaN","4.3241345848735414e-05"
20617828,"uniswap","2024-11-09","-486","-68.25842696629213","-7.142857142857143",27,199,226,"NaN","4.790462824418727e-05"
