id,coin_id,one_day_trend,day_perc_diff,one_week_trend,symbol_count,name_count,coin_id_count,sentiment_score,social_dominance,block_number
12356776,uniswap,213,26.4596273292,20,38,980,1018,0,0.0004248618,17009040
12419926,brett,16,34.0425531915,-6.428571428571429,63,63,63,0,2.78782e-05,17009050
12431185,uniswap,66,6.4833005894,45.857142857142854,44,1040,1084,0,0.0004796827,17009060
12427582,pepe,2076,256.9306930693,277.57142857142856,2884,2884,2884,0,0.0012762039,17009070
12422450,ethereum,-639,-15.9391369419,-88.42857142857143,2337,1033,3370,0,0.0014912646,17009080
12421784,dogecoin,-52,-10.8559498956,-65.14285714285714,353,74,427,0,0.0001889525,17009090
12494256,brett,13,20.6349206349,-7.857142857142857,76,76,76,0,3.02245e-05,17009100
12496780,ethereum,456,13.53115727,-107.71428571428571,2698,1128,3826,0,0.0015215664,17009110
12496114,dogecoin,-64,-14.9882903981,-3.857142857142857,337,26,363,0,0.0001443619,17009120
12501912,pepe,177,6.1373092926,327.85714285714283,3061,3061,3061,0,0.0012173327,17009130
12505515,uniswap,-60,-5.5350553506,1,36,988,1024,0,0.0004072358,17009140
12571110,ethereum,103,2.6921066388,-110.57142857142857,2624,1305,3929,0,0.0016321095,17009150
12568586,brett,-17,-22.3684210526,1.4285714285714286,59,59,59,0,2.45086e-05,17009160
12570444,dogecoin,-33,-9.0909090909,-13.142857142857142,266,64,330,0,0.0001370822,17009170
12576242,pepe,2363,77.1969944463,644.2857142857143,5424,5424,5424,0,0.0022531336,17009180
12579845,uniswap,75,7.32421875,-44.57142857142857,81,1018,1099,0,0.0004565254,17009190
12645526,ethereum,-987,-25.1208959023,-60,1760,1182,2942,0,0.0013550916,17009200
12644860,dogecoin,-233,-70.6060606061,-9.714285714285714,68,29,97,0,4.46784e-05,17009210
12650654,pepe,-909,-16.7588495575,552,4515,4515,4515,0,0.0020796188,17009220
12643001,brett,13,22.0338983051,-3.2857142857142856,72,72,72,0,3.31634e-05,17009230
12654259,uniswap,-234,-21.2920837125,-3.4285714285714284,17,848,865,0,0.0003984209,17009240
12728594,uniswap,-411,-47.5144508671,-1.1428571428571428,17,437,454,0,0.0002808798,17009250
12724989,pepe,-1965,-43.5215946844,278.2857142857143,2550,2550,2550,0,0.0015776286,17009260
12717336,brett,-55,-76.3888888889,-3.142857142857143,17,17,17,0,1.05175e-05,17009270
12719195,dogecoin,2,2.0618556701,-8.142857142857142,74,25,99,0,6.12491e-05,17009280
12719861,ethereum,-1365,-46.3970088375,-112.42857142857143,1059,518,1577,0,0.000975655,17009290
12802929,uniswap,-323,-71.1453744493,-96.28571428571429,4,127,131,0,8.22816e-05,17009300
12794196,ethereum,-498,-31.5789473684,-166.71428571428572,811,268,1079,0,0.0006777238,17009310
12793530,dogecoin,102,103.0303030303,-1.8571428571428572,184,17,201,0,0.0001262488,17009320
12799324,pepe,-965,-37.8431372549,160,1585,1585,1585,0,0.0009955442,17009330
12791671,brett,-5,-29.4117647059,-5.285714285714286,12,12,12,0,7.5372e-06,17009340
12866084,brett,37,308.3333333333,0.2857142857142857,49,49,49,0,2.75214e-05,17009350
12867944,dogecoin,-6,-2.9850746269,-40.57142857142857,173,22,195,0,0.0001095239,17009360
12877352,uniswap,387,295.4198473282,-71.42857142857143,8,510,518,0,0.0002909403,17009370
12868609,ethereum,1084,100.4633920297,-263.7142857142857,1569,594,2163,0,0.0012148723,17009380
12873742,pepe,-772,-48.7066246057,0.7142857142857143,813,813,813,0,0.0004566302,17009390
12942359,dogecoin,-90,-46.1538461538,-46,87,18,105,0,6.87381e-05,17009400
12951767,uniswap,-40,-7.722007722,-86.57142857142857,8,470,478,0,0.000312922,17009410
12948157,pepe,-495,-60.8856088561,-366.57142857142856,318,318,318,0,0.0002081783,17009420
12943024,ethereum,-506,-23.3934350439,-244.71428571428572,1136,521,1657,0,0.0010847528,17009430
12940499,brett,-26,-53.0612244898,-5.714285714285714,23,23,23,0,1.50569e-05,17009440
13026182,uniswap,55,11.5062761506,-70.14285714285714,23,510,533,0,0.0002757094,17009450
13022572,pepe,558,175.4716981132,-312.14285714285717,876,876,876,0,0.0004531359,17009460
13016774,dogecoin,79,75.2380952381,-25.571428571428573,150,34,184,0,9.51792e-05,17009470
13014914,brett,25,108.6956521739,-4,48,48,48,0,2.48294e-05,17009480
13017439,ethereum,253,15.2685576343,-273.7142857142857,1333,577,1910,0,0.0009880017,17009490
13089408,brett,-27,-56.25,-5.428571428571429,21,21,21,0,9.8322e-06,17009500
13100675,uniswap,28,5.2532833021,-76.85714285714286,20,541,561,0,0.0002626615,17009510
13091933,ethereum,277,14.502617801,-248.85714285714286,1649,538,2187,0,0.0010239584,17009520
13097066,pepe,-151,-17.2374429224,-671.2857142857143,725,725,725,0,0.0003394467,17009530
13091269,dogecoin,362,196.7391304348,30.857142857142858,512,34,546,0,0.0002556384,17009540
13165679,dogecoin,-298,-54.5787545788,21.571428571428573,226,22,248,0,0.0001492728,17009550
13175085,uniswap,-130,-23.1729055258,-62,11,420,431,0,0.0002594216,17009560
13166343,ethereum,-481,-21.9935985368,-176.57142857142858,1199,507,1706,0,0.0010268522,17009570
13163818,brett,21,100,-4.285714285714286,42,42,42,0,2.52801e-05,17009580
13171476,pepe,94,12.9655172414,-528,819,819,819,0,0.0004929613,17009590
13240089,dogecoin,-6,-2.4193548387,20.428571428571427,200,42,242,0,0.0001775825,17009600
13245886,pepe,-600,-73.2600732601,-333,219,219,219,0,0.0001607048,17009610
13238228,brett,-9,-21.4285714286,2.2857142857142856,33,33,33,0,2.42158e-05,17009620
13240753,ethereum,-185,-10.8440797186,-8,1080,441,1521,0,0.0011161279,17009630
13249495,uniswap,-13,-3.0162412993,-5.142857142857143,20,398,418,0,0.0003067334,17009640
13320454,pepe,-11,-5.0228310502,-196.71428571428572,208,208,208,0,0.0001513459,17009650
13315312,ethereum,-104,-6.8376068376,48.285714285714285,1115,302,1417,0,0.0010310441,17009660
13314649,dogecoin,690,285.1239669421,104.42857142857143,914,18,932,0,0.0006781462,17009670
13312782,brett,-15,-45.4545454545,0.8571428571428571,18,18,18,0,1.30972e-05,17009680
13324067,uniswap,-8,-1.9138755981,39.857142857142854,5,405,410,0,0.0002983261,17009690
13389867,ethereum,375,26.4643613267,-53,1284,508,1792,0,0.0011618295,17009700
13398622,uniswap,114,27.8048780488,0.8571428571428571,9,515,524,0,0.0003397314,17009710
13389204,dogecoin,-8,-0.8583690987,104.14285714285714,907,17,924,0,0.0005990683,17009720
13395009,pepe,-48,-23.0769230769,-93.28571428571429,160,160,160,0,0.0001037348,17009730
13387337,brett,10,55.5555555556,-3,28,28,28,0,1.81536e-05,17009740
13464422,ethereum,403,22.4888392857,76.85714285714286,1525,670,2195,0,0.0013292091,17009750
13469564,pepe,75,46.875,-11.857142857142858,235,235,235,0,0.0001423071,17009760
13463759,dogecoin,18,1.9480519481,119.57142857142857,919,23,942,0,0.0005704396,17009770
13461892,brett,3,10.7142857143,1.1428571428571428,31,31,31,0,1.87724e-05,17009780
13473177,uniswap,68,12.9770992366,16.285714285714285,21,571,592,0,0.0003584928,17009790
13538369,dogecoin,127,13.4819532909,126.42857142857143,993,76,1069,0,0.0005986344,17009800
13547791,uniswap,-70,-11.8243243243,-1.5714285714285714,12,510,522,0,0.0002923173,17009810
13544174,pepe,57,24.2553191489,-83.42857142857143,292,292,292,0,0.0001635185,17009820
13536510,brett,63,203.2258064516,6.571428571428571,94,94,94,0,5.26395e-05,17009830
13539030,ethereum,915,41.6856492027,171.42857142857142,2111,999,3110,0,0.0017415837,17009840
13597993,dogecoin,-96,-8.9803554724,61,947,26,973,0,0.0005481011,17009850
13607415,uniswap,-335,-64.1762452107,-53.42857142857143,12,175,187,0,0.0001053391,17009860
13603798,pepe,-119,-40.7534246575,-78.85714285714286,173,173,173,0,9.74527e-05,17009870
13598654,ethereum,309,9.9356913183,176,2323,1096,3419,0,0.0019259585,17009880
13596134,brett,-85,-90.4255319149,-1.7142857142857142,9,9,9,0,5.0698e-06,17009890
